id,prediction
1827829226,1
1827829272,1
1827829282,1
1827829293,1
1827829319,1
1827829327,1
1827829351,1
1827829118,1
1827829158,1
1827829558,1
1827829621,1
1827829651,0
1827829652,1
1827829671,1
1827829716,0
1827829758,1
1827829791,1
1827829810,1
1827829885,1
1827829931,1
1827830013,0
1827830057,0
1827830076,1
1827830091,1
1827830191,1
1827830231,1
1827830272,1
1827830168,1
1827830529,1
1827830629,1
1827830632,1
1827830716,1
1827830755,1
1827830788,1
1827830791,1
1827830796,1
1827830956,1
1827830980,1
1827831000,1
1827831057,1
1827831061,1
1827831088,1
1827831130,1
1827831180,1
1827831212,1
1827831260,1
1827831286,1
1827831309,1
1827831327,1
1827831113,1
1827831112,1
1827831171,1
1827831515,1
1827831636,1
1827831686,1
1827831689,1
1827831717,1
1827831779,1
1827831782,1
1827836313,1
1827836321,1
1827836325,1
1827836337,1
1827836315,1
1827836317,1
1827836318,1
1827836358,1
1827836111,1
1827836167,1
1827836171,0
1827836519,1
1827836585,0
1827836639,1
1827836708,1
1827836786,1
1827836799,1
1827836862,1
1827836976,1
1827837013,1
1827837051,1
1827837070,1
1827837120,1
1827837185,1
1827837198,1
1827837202,1
1827837223,1
1827837285,1
1827837371,0
1827837101,1
1827837113,1
1827837121,1
1827837516,1
1827837602,1
1827837621,1
1827837700,1
1827837719,1
1827837751,1
1827837829,1
1827837872,1
1827837876,1
1827837921,1
1827838057,1
1827838065,1
1827838088,1
1827838123,1
1827838229,1
1827838263,0
1827838281,1
1827838311,1
1827838337,1
1827838310,1
1827838311,1
1827838387,1
1827838391,0
1827838131,1
1827838161,1
1827838169,1
1827838192,1
1827838503,1
1827838511,1
1827838581,1
1827838636,1
1827838651,1
1827838663,1
1827838696,0
1827838802,0
1827838816,1
1827838893,1
1827838927,1
1827838937,0
1827839035,1
1827839038,0
1827839012,1
1827839085,1
1827839099,1
1827839107,1
1827839137,1
1827839153,1
1827839201,1
1827839222,0
1827839225,1
1827839251,1
1827839287,1
1827839301,1
1827839311,1
1827839316,1
1827839190,1
1827839191,1
1827839511,1
1827839528,1
1827839538,1
1827839596,1
1827839627,0
1827839671,1
1827839752,1
1827839797,1
1827811319,1
1827811327,1
1827811377,1
1827811382,1
1827811397,1
1827811115,1
1827811163,1
1827811525,1
1827811581,1
1827811598,1
1827811719,1
1827811761,1
1827811763,1
1827815071,0
1827815071,1
1827815180,1
1827815198,1
1827815201,1
1827815212,1
1827815223,1
1827815261,1
1827815300,1
1827815188,1
1827815509,0
1827815528,1
1827815551,1
1827815553,1
